"LANGUAGE","简体中文"
"RPR_PCK_IWL_DES","本地物流仓库 - 存储量大，工人密度低"
"RPR_PCK_IWN_NAM","大型仓库"
"RPR_PCK_IWN_DES","对外出口物流仓库 - 存储量大，工人密度非常低"
"RPR_PCK_OCP_NAM","企业办公楼"
"RPR_PCK_OCP_DES","企业、专业服务和公共部门办公室"
"RPR_PCK_OFN_NAM","金融办公楼"
"RPR_PCK_OFN_DES","金融办公楼；比普通企业办公室的密度更高"
"RPR_PCK_OCS_NAM","客服中心"
"RPR_PCK_OCS_DES","客服中心和紧凑型办公楼"
"RPR_PCK_ODT_NAM","数据中心"
"RPR_PCK_ODT_DES","具有联合定位的数据中心"
"RPR_PCK_SSB_NAM","郊区学校"
"RPR_PCK_SSB_DES","郊区学校"
"RPR_PCK_SML_NAM","明尼苏达州低密度"
"RPR_PCK_SML_DES","明尼苏达州教育部指定 - 最低密度"
"RPR_PCK_SMM_NAM","明尼苏达州中密度"
"RPR_PCK_SMM_DES","明尼苏达州教育部指定 - 中等密度"
"RPR_PCK_SMH_NAM","明尼苏达州高密度"
"RPR_PCK_SMH_DES","明尼苏达州教育部指定 - 最高密度"
"RPR_PCK_SUK_NAM","英国标准"
"RPR_PCK_SUK_DES","英国标准规划密度"
"RPR_PCK_FDF_NAM","标准型"
"RPR_PCK_FDF_DES","标准3米楼层高度"
"RPR_PCK_FHO_NAM","独立住宅"
"RPR_PCK_FHO_DES","独立型住宅。"
"RPR_PCK_FDL_NAM","大堂"
"RPR_PCK_FDL_DES","设有大堂及/或一楼架空层的建筑."
"RPR_PCK_FCM_NAM","商业"
"RPR_PCK_FCM_DES","楼层更高的商业、办公、教育及工业建筑。"
"RPR_PCK_FWH_NAM","仓库"
"RPR_PCK_FWH_DES","零售店、商业和工业仓库。"
"RPR_PCK_FHB_NAM","高棚仓库"
"RPR_PCK_FHB_DES","工业与商业的高棚仓库。"
"RPR_PCK_FEX_NAM","初级工业"
"RPR_PCK_FEX_DES","工业一级开采设施和二级加工厂"
"RPR_PCK_SVE_NAM","原版小学"
"RPR_PCK_SVE_DES","游戏默认小学规模"
"RPR_PCK_SVH_NAM","原版中学"
"RPR_PCK_SVH_DES","游戏默认中学规模"
"RPR_PCK_SVC_NAM","原版社区学校"
"RPR_PCK_SVC_DES","游戏默认社区学校规模"
"RPR_PCK_SVA_NAM","原版艺术学校"
"RPR_PCK_SVA_DES","游戏默认艺术学校规模"
"RPR_CAT_ALL","所有分类"
"RPR_CAT_RES","住宅建筑"
"RPR_CAT_RLO","低密度住宅建筑"
"RPR_CAT_RHI","高密度住宅建筑"
"RPR_CAT_RW2","联排住宅建筑"
"RPR_CAT_COM","商业建筑"
"RPR_CAT_CLO","低密度商业建筑"
"RPR_CAT_CHI","高密度商业建筑"
"RPR_CAT_CW2","联排商业建筑"
"RPR_CAT_OFF","办公建筑"
"RPR_CAT_OW2","联排办公建筑"
"RPR_CAT_FIN","金融办公楼"
"RPR_CAT_GEN","一般建筑"
"RPR_CAT_ITC","信息产业建筑"
"RPR_CAT_IND","工业建筑"
"RPR_CAT_FAR","农业"
"RPR_CAT_FOR","林业"
"RPR_CAT_OIL","石油业"
"RPR_CAT_ORE","矿业"
"RPR_CAT_EXT","原料提取工厂"
"RPR_CAT_PRO","加工厂"
"RPR_CAT_TOU","旅游建筑"
"RPR_CAT_LEI","休闲建筑"
"RPR_CAT_ORG","本地有机作物"
"RPR_CAT_ECO","生态商店"
"RPR_CAT_SSH","自给住宅建筑"
"RPR_CAT_ERL","低密度生态建筑"
"RPR_CAT_ERH","高密度生态建筑"
"RPR_CAT_SIN","专精工业"
"RPR_CAT_SCH","学校"
"RPR_FIL_NAME","名称："
"RPR_FIL_SET","按照设置筛选（参阅工具提示）"
"RPR_EDT_POP","覆盖原有建筑容量"
"RPR_EDT_FLR","覆盖原有楼层数量"
"RPR_FTR_ANY","是否有自定义覆盖或非默认计算包"
"RPR_FTR_OVR","容量/楼层覆盖"
"RPR_FTR_NDC","有非默认的计算包和/或自定义人口乘数"
"RPR_CUS_TITLE","自定义设置"
"RPR_CUS_ADD","添加自定义设置"
"RPR_CUS_ADD_TIP","为选定的建筑物添加(或更新)自定义设置"
"RPR_CUS_DEL","删除自定义设置"
"RPR_CUS_DEL_TIP","删除所选建筑的自定义设置"
"RPR_CUS_UPD","更新自定义设置"
"RPR_ERR_ZERO","错误：设定的数值需要大于零"
"RPR_ERR_INV","错误：无效数值"
"RPR_LBL_HOM","家庭："
"RPR_LBL_JOB","岗位："
"RPR_LBL_STU","学生："
"RPR_LBL_OFF","一楼楼层高度"
"RPR_LBL_OFH","其他楼层高度"
"RPR_PRV_SFL","显示计算出的楼层数量"
"RPR_CAL_MOD","模组计算值"
"RPR_CAL_DEN","人口密度"
"RPR_CAL_BFL","建筑楼层"
"RPR_CAL_FOV","使用自定义覆盖"
"RPR_CAL_FLG","在您使用旧版计算方式时，楼层计算选项不可用"
"RPR_CAL_SAT","保存并应用于："
"RPR_CAL_NBD","仅新建的建筑"
"RPR_CAL_ABD","所有建筑"
"RPR_CAL_VOL_FLR","楼层"
"RPR_CAL_VOL_FLR_TIP","该建筑的楼层数量将基于上述设定来计算。"
"RPR_CAL_VOL_TFA","总建筑面积"
"RPR_CAL_VOL_TFA_TIP","该建筑的总建筑面积将基于上述设定来计算。"
"RPR_CAL_VOL_UTS","总单位"
"RPR_CAL_VOL_UTS_TIP","按上述设置计算该建筑的总容量（家庭或职位数量）"
"RPR_CAL_VOL_VIS","游客数量"
"RPR_CAL_VOL_VIS_TIP","这座建筑最多同时容纳的顾客数量。"
"RPR_CAL_VOL_PRD","生产速度"
"RPR_CAL_VOL_PRD_TIP","该建筑的最大生产速度。"
"RPR_CAL_VOL_FLH","楼层高度"
"RPR_CAL_VOL_FLH_TIP","该建筑每层楼的典型楼层高度(以米为单位)(一楼下面有额外的选项)"
"RPR_CAL_VOL_FMN","首层最低高度"
"RPR_CAL_VOL_FMN_TIP","建筑物至少有一层的面积所要求的最低建筑高度"
"RPR_CAL_VOL_FMX","第一层的额外高度"
"RPR_CAL_VOL_FMX_TIP","在增加楼层之前，第一层的高度将向上延伸此高度(在上面的典型楼层高度之上)"
"RPR_CAL_VOL_IGF","忽略第一层"
"RPR_CAL_VOL_IGF_TIP","一旦设置，建筑的第一层就被视为空的空间(如大堂或门厅区域)，没有家庭或工人"
"RPR_CAL_VOL_EPC","空置区域(%)"
"RPR_CAL_VOL_EPC_TIP","每层建筑面积的这一百分比将被视为空置面积，在计算住户或工人数量时将不包括在内"
"RPR_CAL_VOL_EMP","空白区域(固定值)"
"RPR_CAL_VOL_EMP_TIP","在计算住户或工人之前，从每层建筑面积中扣除的固定面积(视为空面积)"
"RPR_CAL_VOL_FXP","固定人口？"
"RPR_CAL_VOL_FXP_TIP","一旦设置，那么将使用固定的家庭或工人数量，而不管建筑的大小(例如，每栋建筑一个家庭)"
"RPR_CAL_VOL_UNI","单位"
"RPR_CAL_VOL_HOU","户数"
"RPR_CAL_VOL_WOR","工作场所"
"RPR_CAL_VOL_STU","学生"
"RPR_CAL_VOL_UNI_TIP","修正每栋建筑有固定的住户或工人人数"
"RPR_CAL_VOL_APU","每单位面积"
"RPR_CAL_VOL_APU_TIP","每户或工人所需要的面积(以平方米计)(扣除空置面积后)"
"RPR_CAL_VOL_MFU","多层单元"
"RPR_CAL_VOL_MFU_TIP","如果没有设置，则将计算每一层楼的住户或工人数量。如果设置了这个值，那么只有建筑总数将用于计算家庭或工人数量"
"RPR_CAL_VOL_ARA","面积"
"RPR_CAL_UNI_HOU","住户"
"RPR_CAL_UNI_WOR","工人"
"RPR_CAL_UNI_STU","学生"
"RPR_CAL_HOM_CALC","已计算人口："
"RPR_CAL_HOM_CUST","已设定人口："
"RPR_CAL_HOM_APPL","已应用人口："
"RPR_CAL_JOB_CALC","已计算岗位："
"RPR_CAL_JOB_CUST","已设定岗位："
"RPR_CAL_JOB_APPL","已应用岗位："
"RPR_CAL_BLD_X","建筑宽度（米）："
"RPR_CAL_BLD_Z","建筑长度（米）："
"RPR_CAL_LOT_X","层宽度（正方形）"
"RPR_CAL_LOT_Z","层长度（正方形）"
"RPR_CAL_BLD_Y","施工棚高（米）："
"RPR_CAL_BLD_M2","平方米/人："
"RPR_CAL_FLR_Y","楼层高度（米）："
"RPR_CAL_FLR_M","楼层模组"
"RPR_CAL_FLR","已计算楼层："
"RPR_CAL_M2","已计算面积："
"RPR_CAL_OVR","（覆盖）"
"RPR_CAL_OVM","人口计算被手动设置覆盖"
"RPR_CAL_RICO","Ploppable RICO Revisited正在控制该建筑的参数"
"RPR_CAL_CAP_OVR","自定义容量倍数"
"RPR_CAL_CAP_DEF","默认倍数："
"RPR_CAL_SCH_PRO","人员和成本比例"
"RPR_CAL_SCH_WKR","校职工"
"RPR_CAL_SCH_WKR_TIP","该所学校可用工作场所的数量和水平使用上述设置计算"
"RPR_CAL_SCH_CST","成本/维护"
"RPR_CAL_SCH_CST_TIP","学校的建设费用和周维护费用使用上述设置计算"
"RPR_TIT_RDF","住宅默认计算"
"RPR_TIT_CDF","商业默认计算"
"RPR_TIT_IDF","工业默认计算"
"RPR_TIT_EDF","加工厂默认计算"
"RPR_TIT_ODF","办公默认计算"
"RPR_TIT_SDF","学校默认计算"
"RPR_TIT_CGO","商业商品设置"
"RPR_TIT_IGO","工业生产设置"
"RPR_TIT_EGO","加工厂生产设置"
"RPR_TIT_OGO","办公生产设置"
"RPR_OPT_MOD","模组设置"
"RPR_OPT_KEY","启用设置窗口的快捷键"
"PRESS_ANY_KEY","按下任意键"
"RPR_OPT_LEG","传统"
"RPR_OPT_CON","消费"
"RPR_OPT_LVL","级别"
"RPR_OPT_APH","户均面积(m2)"
"RPR_OPT_APW","每工人面积(m2)"
"RPR_OPT_FLR","楼层高度(米)"
"RPR_OPT_POW","电力"
"RPR_OPT_WAT","用水"
"RPR_OPT_SEW","污水"
"RPR_OPT_GAR","垃圾"
"RPR_OPT_POL","污染"
"RPR_OPT_NOI","噪声"
"RPR_OPT_MAI","邮件"
"RPR_OPT_PRO","生产量"
"RPR_OPT_WEA","财富"
"RPR_OPT_RTD","重置为默认值"
"RPR_OPT_RTS","还原为已存档"
"RPR_OPT_SAA","保存并应用"
"RPR_OPT_SCH","学校"
"RPR_OPT_SEN","启用学校真实学生人数"
"RPR_OPT_SEJ","启用真实的学校财产(工作，成本)-需重新启动"
"RPR_OPT_SDM","学校默认容量计算"
"RPR_OPT_JB0","未受教育岗位"
"RPR_OPT_JB1","受普通教育岗位"
"RPR_OPT_JB2","受良好教育岗位"
"RPR_OPT_JB3","受高等教育岗位"
"RPR_OPT_SHE","小学"
"RPR_OPT_SHH","高中"
"RPR_OPT_SJB","基本岗位"
"RPR_OPT_SJX","每个学生的额外岗位"
"RPR_OPT_CRI","犯罪"
"RPR_OPT_CML","犯罪率（%）"
"RPR_OPT_CML_TIP","这个城市的基础犯罪积累将会乘以这个数字"
"RPR_OPT_POP","人口配置"
"RPR_OPT_STO","楼层配置"
"RPR_OPT_DEF","默认配置"
"RPR_OPT_PSI","生产、销售和库存设置"
"RPR_OPT_EDT_NAM","自定义配置名称"
"RPR_OPT_SVC","服务"
"RPR_OPT_CPK","算法配置包"
"RPR_OPT_NEW","新增配置"
"RPR_OPT_DEL","删除配置"
"RPR_OPT_NPK","新配置"
"RPR_OPT_MEA","使用英制单位显示（而非公制）"
"RPR_OPT_LDT","启用详细的调试日志"
"RPR_OPT_ZON","游戏开始时启用所有的分区类型"
"RPR_DEF_DMR","默认住宅建筑计算模式："
"RPR_DEF_DMC","默认商业建筑计算模式："
"RPR_DEF_DMI","默认工业建筑计算模式："
"RPR_DEF_DMO","默认办公建筑计算模式："
"RPR_DEF_LTS","该存档"
"RPR_DEF_LAS","新存档"
"RPR_DEF_VIS","客户（访客）容量"
"RPR_DEF_VIS_TIP","新计算方法是以该建筑能够处理客户数量为基础。旧的方法是根据建筑用地的大小，而新的方法是根据建筑中工作场所的数量。"
"RPR_DEF_VNE","新模式（工人数量）"
"RPR_DEF_VOL","旧模式（建筑面积）"
"RPR_DEF_VMU","客户数量计算"
"RPR_DEF_VMU_TIP","计算出的客户容量再乘以该倍数"
"RPR_DEF_CGM","销售数量计算"
"RPR_DEF_CGM_TIP","这幢大楼每名顾客卖出的货物数量将乘以这个数量;降低税率意味着需要的商品减少，但税收收入也会减少"
"RPR_DEF_IDC","库存需求"
"RPR_DEF_IDC_TIP","建筑库存订单的触发数量将被限制在这个最大值(不影响计算出的建筑库存订单触发数量已经低于这个上限)。"
"RPR_DEF_PMD","计算模式"
"RPR_DEF_PMD_TIP","这是计算该建筑生产率的基础。旧的方法是根据建筑用地的大小，而新的方法是根据建筑中工作场所的数量。"
"RPR_DEF_PRD","生产倍数"
"RPR_DEF_PRD_TIP","这座建筑生产的货物数量将会乘以这个倍数"
"TRN_CHOICE","设置语言"
"LANGUAGE_GAME","使用系统默认语言"
"NOTE_CLOSE","关闭"
"NOTE_DONTSHOWAGAIN","不再提醒"
"MES_PAGE","请到工坊该模组页面了解详细信息"
"RPR_OLD_0","这个保存文件没有保存到该模组中。"
"RPR_OLD_1","请注意，对现有城市应用不同的人口计算可能会暂时破坏城市平衡。"
"RPR_OLD_3","请注意，在任何一种情况下，现有的住宅建筑将保留其现有的能力和家庭，不会受到影响，现有工作的工人不会立即被取代这些工作，所以对你的城市人口不会立即产生影响。"
"RPR_OLD_4","选择新的计算方法以立即应用模组的标准计算。"
"RPR_OLD_5","选择原版计算以继续使用游戏的默认计算方式。您可以稍后更改模组的计算方式。"
"RPR_OLD_6","选择旧的计算方法来使用此模组早期版本的计算方法(Realistic Population and Consumption和Realistic Population Revisited version 1)。 如果您的保存文件使用了这些较早版本中的一个，请选择此项。"
"RPR_OLD_VAN","原版计算方式"
"RPR_OLD_LEG","使用传统计算方式"
"RPR_OLD_NEW","使用新版计算方式"
"UNABLE_TO_OPERATE","这意味着Realistic Population 2无法正常运作，并已关闭。","Warning message letting the user know that the mod can't work."
"HARMONY_ERROR","该模组（Realistic Population 2）无法正常调用Harmony模组","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","导致该问题的原因可能是：","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","前置模组Harmony 2并没有订阅","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","存在旧版/损坏模组导致Harmony 2无法正常使用","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","另一个模组可能在尝试应用冲突的Harmony补丁","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"CONFLICTING_MODS","冲突的模组是：","Part of the mod conflict warning notification - header for the list of conflicting mods."
"CONFLICT_DETECTED","Realistic Population 2检测到至少有一个冲突模组","Warning message that a mod conflict was detected."
"RPR_ERR_CON1","在Realistic Population 2正常使用之前，需要移除以下模组："
"RPR_200_0","重命名 'Realistic Population Revisited' 至 'Realistic Population 2' 以体现变化"
"RPR_200_1","主要新特点:新建筑人口计算基于实际建筑形状和大小，实际计算的建筑面积，并可选择新版或旧版的计算方式"
"RPR_200_2","主要新功能:独立的计算预设建筑面积和人口，以及可选的手动覆盖其中之一或两者"
"RPR_200_3","主要新功能:可选择配置预设为每个建筑服务类型"
"RPR_200_4","主要新功能:可选的现实的学生能力计算小学和高中，与可配置乘数时，现实大小的学校建筑是不可用的"
"RPR_200_5","主要新特点:可调整的犯罪率"
"RPR_200_6","升级到Harmony 2模组"
"RPR_200_7","对建筑细节面板的各种增强"
"RPR_200_8","改进mod冲突检测和通知"
"RPR_200_9","重大的改版，清理和重组的mod的代码库"
"RPR_201_0","添加使用英制单位（英尺与平方英尺）而非公制单位的选项"
"RPR_21_0","兼容游戏版本 1.15 (Plazas & Promenades)"
"RPR_22_0","现在可以对 Plazas & Promenades 的联排楼宇建筑进行单独设置"
"RPR_22_1","添加可以在游戏开始时解锁有所分区类型的选项"
"RPR_221_0","更新商品销售的倍率代码"
"RPR_222_0","新增了对金融办公楼的支持"
